OBJECTID,NAME,CITY,STATE,POPULATION,COUNTY,BEDS
5002,ST. VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,409,JEFFERSON,409
5003,ST. VINCENT'S EAST,BIRMINGHAM,AL,362,JEFFERSON,362
5004,TRINITY MEDICAL CENTER,BIRMINGHAM,AL,534,JEFFERSON,534
5008,CHOCTAW GENERAL HOSPITAL,BUTLER,AL,25,CHOCTAW,25
5018,ENCOMPASS HEALTH REHABILITATION HOSPITAL,DOTHAN,AL,51,HOUSTON,51
5020,WIREGRASS MEDICAL CENTER,GENEVA,AL,83,GENEVA,83
5022,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,GREENVILLE,AL,72,BUTLER,72
5023,HALE COUNTY HOSPITAL,GREENSBORO,AL,39,HALE,39
5032,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,HUNTSVILLE,AL,70,MADISON,70
5035,"HUNTSVILLE HOSPITAL, THE",HUNTSVILLE,AL,881,MADISON,881
5036,JACKSON MEDICAL CENTER,JACKSON,AL,35,CLARKE,35
5037,MADISON HOSPITAL,MADISON,AL,60,MADISON,60
5038,INFIRMARY LTAC HOSPITAL,MOBILE,AL,22,MOBILE,22
5039,PROVIDENCE HOSPITAL,MOBILE,AL,349,MOBILE,349
5040,SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,263,MOBILE,263
5041,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,94,MONROE,94
5043,SHOALS HOSPITAL,MUSCLE SHOALS,AL,178,COLBERT,178
5044,EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,314,LEE,314
5046,REGIONAL REHABILITATION HOSPITAL,PHENIX CITY,AL,48,RUSSELL,48
5047,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,100,FRANKLIN,100
5048,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,170,JACKSON,170
5049,TROY REGIONAL MEDICAL CENTER,TROY,AL,97,PIKE,97
5051,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,583,TUSCALOOSA,583
5053,TAYLOR HARDIN SECURE MEDICAL FACILITY,TUSCALOOSA,AL,114,TUSCALOOSA,114
5055,NORTHWEST MEDICAL CENTER,WINFIELD,AL,71,MARION,71
5848,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,TUSKEGEE,AL,143,MACON,143
6484,BEACON CHILDREN'S HOSPITAL,LUVERNE,AL,28,CRENSHAW,28
6485,THOMAS HOSPITAL,FAIRHOPE,AL,150,BALDWIN,150
6486,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,46,TALLAPOOSA,46
6487,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,60,CHEROKEE,60
6488,EASTPOINTE HOSPITAL,DAPHNE,AL,66,BALDWIN,66
6489,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,112,BALDWIN,112
6661,"NOLAND HOSPITAL DOTHAN, LLC",DOTHAN,AL,38,HOUSTON,38
6671,FOX ARMY HEALTH CENTER: LAMBERT RHONDA W,HUNTSVILLE,AL,0,MADISON,0
6677,VA MEDICAL CENTER - BIRMINGHAM,BIRMINGHAM,AL,313,JEFFERSON,313
6883,EAMC - LANIER,VALLEY,AL,115,CHAMBERS,115
6884,ST. VINCENT'S ST.CLAIR,PELL CITY,AL,40,ST. CLAIR,40
6885,"SANCTUARY AT THE WOODLANDS, THE",CULLMAN,AL,40,CULLMAN,40
6886,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,281,ETOWAH,281
6888,HUNTSVILLE HOSPITAL WOMEN & CHILDREN-ER,HUNTSVILLE,AL,0,MADISON,0
7590,TANNER MEDICAL CENTER/EAST ALABAMA,WEDOWEE,AL,15,RANDOLPH,15
103,MERCY HOSPITAL ROGERS,ROGERS,AR,208,BENTON,208
138,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,336,SEBASTIAN,336
139,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,FORT SMITH,AR,80,SEBASTIAN,80
140,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,SEARCY,AR,193,WHITE,193
141,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,SEARCY,AR,286,WHITE,286
142,RIVER VALLEY MEDICAL CENTER,DARDANELLE,AR,35,YELL,35
143,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,ARKADELPHIA,AR,25,CLARK,25
144,MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,25,CARROLL,25
145,EUREKA SPRINGS HOSPITAL,EUREKA SPRINGS,AR,22,CARROLL,22
146,SOUTHEAST REHABILITATION HOSPITAL,LAKE VILLAGE,AR,15,CHICOT,15
147,BRADLEY COUNTY MEDICAL CENTER,WARREN,AR,35,BRADLEY,35
148,FIVE RIVER MEDICAL CENTER,POCAHONTAS,AR,50,RANDOLPH,50
149,DALLAS COUNTY MEDICAL CENTER,FORDYCE,AR,25,DALLAS,25
150,CRITTENDEN HOSPITAL ASSOCIATION,WEST MEMPHIS,AR,152,CRITTENDEN,152
151,OUACHITA CO. MEDICAL CENTER,CAMDEN,AR,100,OUACHITA,100
152,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,174,BOONE,174
153,STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,25,STONE,25
154,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,25,CLAY,25
155,BAPTIST HEALTH - HEBER SPRINGS,HEBER SPRINGS,AR,25,CLEBURNE,25
156,ST. VINCENT MORRILTON,MORRILTON,AR,35,CONWAY,35
157,UAMS MEDICAL CENTER,LITTLE ROCK,AR,400,PULASKI,400
158,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,LITTLE ROCK,AR,248,PULASKI,248
159,UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,MAUMELLE,AR,60,PULASKI,60
160,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,HOT SPRINGS,AR,89,GARLAND,89
161,HOT SPRINGS REHABILITATION CENTER,HOT SPRINGS,AR,35,GARLAND,35
162,CHI ST VINCENT HOSPITAL HOT SPRINGS,HOT SPRINGS,AR,289,GARLAND,289
163,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,MALVERN,AR,72,HOT SPRING,72
164,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,PINE BLUFF,AR,27,JEFFERSON,27
165,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,471,JEFFERSON,471
166,HEALTHSOUTH REHABILITATION HOSPITAL,FAYETTEVILLE,AR,60,WASHINGTON,60
168,VANTAGE POINT OF NORTHWEST ARKANSAS,FAYETTEVILLE,AR,114,WASHINGTON,114
169,NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,SPRINGDALE,AR,64,WASHINGTON,64
171,MENA REGIONAL HEALTH SYSTEM,MENA,AR,65,POLK,65
172,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,25,LOGAN,25
173,MERCY HOSPITAL PARIS,PARIS,AR,16,LOGAN,16
174,CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,25,CROSS,25
175,BAPTIST HEALTH REHABILITATION INSTITUTE,LITTLE ROCK,AR,120,PULASKI,120
178,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,49,ARKANSAS,49
1793,DE QUEEN MEDICAL CENTER,DE QUEEN,AR,35,SEVIER,35
1794,VALLEY BEHAVIORAL HEALTH SYSTEM,BARLING,AR,75,SEBASTIAN,75
1796,RIVENDELL BEHAVIORAL HEALTH SERVICES,BENTON,AR,77,SALINE,77
1797,ST. BERNARDS BEHAVIORAL HEALTH,JONESBORO,AR,60,CRAIGHEAD,60
1798,ST. BERNARDS MEDICAL CENTER,JONESBORO,AR,378,CRAIGHEAD,378
1799,ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,33,ASHLEY,33
1800,GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,168,MISSISSIPPI,168
1801,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,166,GARLAND,166
1803,LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,AR,25,LITTLE RIVER,25
1805,MERCY ORTHOPEDIC HOSPITAL FORT SMITH,FORT SMITH,AR,24,SEBASTIAN,24
1811,NORTHWEST HEALTH PHYSICIANS' SPECIALTY HOSPITAL,FAYETTEVILLE,AR,20,WASHINGTON,20
2442,CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,41,YELL,41
2443,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,25,CHICOT,25
2444,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,118,ST. FRANCIS,118
2445,DREW MEMORIAL HOSPITAL,MONTICELLO,AR,49,DREW,49
2446,THE SURGICAL HOSPITAL OF JONESBORO,JONESBORO,AR,12,CRAIGHEAD,12
2447,DE WITT HOSPITAL & NURSING HOME,DE WITT,AR,25,ARKANSAS,25
2449,BAPTIST HEALTH MEDICAL CENTER - FORT SMITH,FORT SMITH,AR,476,SEBASTIAN,476
2450,MEDICAL CENTER OF SOUTH ARKANSAS,EL DORADO,AR,166,UNION,166
2451,MCGEHEE-DESHA COUNTY HOSPITAL,MC GEHEE,AR,25,DESHA,25
2452,CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,146,FAULKNER,146
2453,CONWAY REGIONAL REHABILITATION HOSPITAL,CONWAY,AR,26,FAULKNER,26
2454,LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,AR,25,LAWRENCE,25
2455,MAGNOLIA HOSPITAL,MAGNOLIA,AR,70,COLUMBIA,70
2456,ST. VINCENT MEDICAL CENTER - NORTH,SHERWOOD,AR,69,PULASKI,69
2457,ST. VINCENT REHABILITATION HOSPITAL,SHERWOOD,AR,60,PULASKI,60
2458,ARKANSAS HEART HOSPITAL,LITTLE ROCK,AR,112,PULASKI,112
2459,THE BRIDGEWAY,NORTH LITTLE ROCK,AR,100,PULASKI,100
2460,NORTHWEST MEDICAL CENTER,SPRINGDALE,AR,222,WASHINGTON,222
2462,NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,113,PULASKI,113
2463,ARKANSAS DEPARTMENT OF CORRECTION - OUACHITA RIVER UNIT INPATIENT CARE FACILITY,MALVERN,AR,28,HOT SPRING,28
2464,PINNACLE POINTE BEHAVIORAL HEALTHCARE SYSTEM,LITTLE ROCK,AR,127,PULASKI,127
2469,HEALTHSOUTH REHABILITATION HOSPITAL OF JONESBORO,JONESBORO,AR,80,CRAIGHEAD,80
2470,REGENCY HOSPITAL OF SPRINGDALE,SPRINGDALE,AR,25,WASHINGTON,25
3347,VETERANS HEALTH CARE SYSTEM OF THE OZARKS,FAYETTEVILLE,AR,78,WASHINGTON,78
3393,EUGENE J. TOWBIN VETERAN'S HEALTHCARE CENTER,LITTLE ROCK,AR,256,PULASKI,256
3404,CHI ST. VINCENT HOT SPRINGS REHABILITATION HOSPITAL AN AFFILIATE OF HEALTHSOUTH,HOT SPRINGS,AR,40,GARLAND,40
3480,BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK,LITTLE ROCK,AR,783,PULASKI,783
3481,ARKANSAS CHILDREN'S HOSPITAL,LITTLE ROCK,AR,280,PULASKI,280
3616,"BAPTIST HEALTH EXTENDED CARE HOSPITAL-LITTLE ROCK, INC.",LITTLE ROCK,AR,55,PULASKI,55
3617,CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS,HOT SPRINGS,AR,27,GARLAND,27
3619,RIVERVIEW BEHAVIORAL HEALTH,TEXARKANA,AR,62,MILLER,62
3620,CORNERSTONE HOSPITAL LITTLE ROCK,LITTLE ROCK,AR,40,PULASKI,40
3655,"SELECT SPECIALTY HOSPITAL - FORT SMITH, INC.",FORT SMITH,AR,34,SEBASTIAN,34
3656,CHRISTUS DUBUIS OF FORTH SMITH,FORT SMITH,AR,25,SEBASTIAN,25
4244,NEA BAPTIST MEMORIAL HEALTH,JONESBORO,AR,181,CRAIGHEAD,181
4245,PIKE COUNTY MEMORIAL HOSPITAL,MURFREESBORO,AR,32,PIKE,32
4246,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,268,BAXTER,268
4247,FULTON COUNTY HOSPITAL,SALEM,AR,25,FULTON,25
4248,ST. MARY'S REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,170,POPE,170
4249,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,129,GREENE,129
4250,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,199,INDEPENDENCE,199
4253,REGENCY HOSPITAL OF NORTHWEST ARKANSAS,FAYETTEVILLE,AR,25,WASHINGTON,25
4254,WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR,366,WASHINGTON,366
4255,NORTHWEST MEDICAL CENTER - BENTONVILLE,BENTONVILLE,AR,128,BENTON,128
4256,ST. MARY - ROGERS MEMORIAL HOSPITAL,ROGERS,AR,165,BENTON,165
4262,HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,20,HOWARD,20
4751,HELENA REGIONAL MEDICAL CENTER,HELENA,AR,155,PHILLIPS,155
4752,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,80,JOHNSON,80
4753,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,AR,25,MISSISSIPPI,25
4754,ARKANSAS SURGICAL HOSPITAL,NORTH LITTLE ROCK,AR,16,PULASKI,16
4755,WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,79,HEMPSTEAD,79
4756,WOODRIDGE BEHAVIORAL CENTER,WEST MEMPHIS,AR,54,CRITTENDEN,54
4760,SALINE MEMORIAL HOSPITAL,BENTON,AR,167,SALINE,167
5412,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,GRAVETTE,AR,25,BENTON,25
5416,MERCY HOSPITAL OZARK,OZARK,AR,25,FRANKLIN,25
5746,MERCY HOSPITAL WALDRON,WALDRON,AR,24,SCOTT,24
5747,ARKANSAS STATE HOSPITAL,LITTLE ROCK,AR,222,PULASKI,222
5771,BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK,LITTLE ROCK,AR,0,PULASKI,0
5812,SPRINGWOODS BEHAVIORAL HEALTH SERVICES,FAYETTEVILLE,AR,80,WASHINGTON,80
6437,DELTA MEMORIAL HOSPITAL,DUMAS,AR,25,DESHA,25
6653,IZARD COUNTY MEDICAL CENTER LLC,CALICO ROCK,AR,25,IZARD,25
6675,JOHN L MCCLELLAN MEMORIAL VETERANS HOSPITAL,LITTLE ROCK,AR,538,PULASKI,538
7322,SILOAM SPRINGS REGIONAL HOSPITAL,SILOAM SPRINGS,AR,42,BENTON,42
7323,OZARK HEALTH,CLINTON,AR,25,VAN BUREN,25
7324,UNITY HEALTH HARRIS HOSPITAL,NEWPORT,AR,133,JACKSON,133
7325,BAPTIST HEALTH MEDICAL CENTER VAN BUREN,VAN BUREN,AR,103,CRAWFORD,103
7326,CHI ST. VINCENT INFIRMARY HEALTH SYSTEM,LITTLE ROCK,AR,615,PULASKI,615
7332,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,111,FAULKNER,111
7380,BAPTIST MEMORIAL HOSPITAL-CRITTENDEN INC.,WEST MEMPHIS,AR,11,CRITTENDEN,11
7382,CONWAY BEHAVIORAL HEALTH,CONWAY,AR,70,FAULKNER,70
7383,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,JONESBORO,AR,44,CRAIGHEAD,44
